"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1","We're so honored that the first ever YouTube video was filmed here!","@SanDiegoZoo","https://yt3.ggpht.com/gzFx_VmfNpauRMFweJaYL0sp9nHue-IdJdkHkrM-ba6P2RQz6xiF27YUvPFZg4-YXl6UzXBj=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@SanDiegoZoo","UCC5NfQ6Mf0dq_eEwv4P_hWA","750","3883982","2020-02-17T18:58:15Z","2020-02-17T18:58:15Z","UgzuC3zzpRZkjc5Qzsd4AaABAg",NA,"jNQXAC9IVRw"
"2","Oo Bhai YouTube first' video","@mtmizanff","https://yt3.ggpht.com/XOVdl9YXyucBFgnvfXzpmG_zPB84DRnJ4-Pw7XULX4j47HdmJryxDdUjdQwO96JyLQ51Idw5=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mtmizanff","UC-79BqIrJcLeVQxEb06wZhw","0","0","2024-08-04T11:20:49Z","2024-08-04T11:20:49Z","UgzX4PpClWnYN8Ftc4h4AaABAg",NA,"jNQXAC9IVRw"
"3","Меня ещё не было в те года","@Bogdan24095","https://yt3.ggpht.com/f01-Cf3y0CjlPDg-IvyP52Vnv7jUvRfjKx16ZmzonD3ZWD4vDZbbqG0FGLrXS1VrdaV3w1iXTzk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Bogdan24095","UCu0Rh1cxekAlzb3G9w5V3sg","0","0","2024-08-04T11:13:23Z","2024-08-04T11:13:23Z","Ugz6Bhu53EOV4uV8ZmF4AaABAg",NA,"jNQXAC9IVRw"
"4","Знаете как некоторые пишут типо:

10сек назад?

Так вот..

Двадцать лет назад.","@wert2no","https://yt3.ggpht.com/UFNxRz5vSvVCcHwsveLQ0LchFm8Vh20_qSytena2ciGxshdFuJssRkp_PeYcxyUPmH-sznQ7=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@wert2no","UCNtWwvBI495bDozSlQZ4nQg","0","0","2024-08-04T11:11:59Z","2024-08-04T11:11:59Z","UgxJraYcznT_-PFQLKR4AaABAg",NA,"jNQXAC9IVRw"
"5","☠ 
People from 2024 watching it after 19 years ☠","@TayeebaPlayz","https://yt3.ggpht.com/7S3o8kIpx2KxSo56AwNQ4z3FwLboRVgjkIBIn0XSPuukmUZXzx43bhGvYODEJVCrBYbr-Nfp-xw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@TayeebaPlayz","UCtIBjtuDjr7SWGbd_nAyM4Q","0","0","2024-08-04T11:08:10Z","2024-08-04T11:08:10Z","UgzBZH2QS9Gcvjr3Z154AaABAg",NA,"jNQXAC9IVRw"
"6","видео свежее чем мой хлеб","@_llolek228_8","https://yt3.ggpht.com/_-HAyPeuIQM_9KNcwtNVscwzHGo_LT5zMy3wE2PBkFWhCcUNx-BJ1_imHk28sv4n_c4yLhMVOA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@_llolek228_8","UC94wWjy7WuQgIS-j9OLs_NA","1","0","2024-08-04T11:06:13Z","2024-08-04T11:06:13Z","Ugxgun8gsqgFMBL-5D94AaABAg",NA,"jNQXAC9IVRw"
"7","Guys, the pinned comment (@SanDiegoZoo) is the one with the most likes not Seth Everman's lol I didn't know until today","@Marinette577Alya","https://yt3.ggpht.com/O8OlSI6YDMNzQE5RKQ-ramS_D2pFtJ9cvmjPW68ME1-PbyjLNzYtybTHqtS598jaICO7NHor=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Marinette577Alya","UCi7EtvYlJAzXXo5rVUU-Jkw","0","1","2024-08-04T11:05:28Z","2024-08-04T11:05:28Z","UgyZqhL5pM_TPP7yyH54AaABAg",NA,"jNQXAC9IVRw"
"8","OMG HOW THOSE HE GET 16M LIKES 4.84M SUBS AND 329M VIEWS AND 19 YEARS AGO 19S BRO im proud of him🙂","@mark-tz4cl","https://yt3.ggpht.com/ytc/AIdro_m1EEJmb4AB8E_nD2eq-iMSjmxR3lNZovQx_YA7vAqDi3v7-00Cbm8bWsbU_5uzAC5PLA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@mark-tz4cl","UCO7V7axNAB_E4_E7VltqQYQ","0","0","2024-08-04T11:05:26Z","2024-08-04T11:05:26Z","UgyAfRK_4-KCWSFyzfd4AaABAg",NA,"jNQXAC9IVRw"
"9","മലയാളം ❤","@sitharamonu743","https://yt3.ggpht.com/HtBJoFaL7dl3qtYKdvCXYIZ57jMPYEccNgtYpTq4UUowJjDyjsM_nyTMX0O3qRJ5SwAs5RQGWqM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sitharamonu743","UCX6c77B-Kr1QofLIKZw_riA","0","0","2024-08-04T11:03:14Z","2024-08-04T11:03:14Z","UgxpmsKvnpEbNSnKK954AaABAg",NA,"jNQXAC9IVRw"
"10","I hope the time will come after 10 years when I have at least 1M subscribers on my channel, and the same for people like me who are just starting out on YOUTUBE and those who are going to do it. I will come back to my comment here after 10 years I believe ☺️☺️","@tign4nmotv700","https://yt3.ggpht.com/7AhIkaZH6xzsD6VyJh6_SMivByEUl-FGxYhWcYKUI10h1EKK-TwYjPkPl8T8s38MP88-C2AT=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@tign4nmotv700","UCGgsJz1OktpFeklb-pZzcEw","0","0","2024-08-04T10:59:13Z","2024-08-04T10:59:13Z","UgwjXu3p-kzINe7myp94AaABAg",NA,"jNQXAC9IVRw"
"11","😭","@snehapradhan5591","https://yt3.ggpht.com/ytc/AIdro_kISLZfjP7p-7FL9nyL95xzZ9MFMrmnH_eYWNLzaHU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@snehapradhan5591","UCeiHdxE9hTPoKvKvjwZYugA","0","0","2024-08-04T10:58:23Z","2024-08-04T10:58:23Z","UgwrGmM7vhUkv-qSAs54AaABAg",NA,"jNQXAC9IVRw"
"12","This video is older than me lol","@ReviloXD","https://yt3.ggpht.com/qWSJ8oT9RWLJJDNP9VU9gddbC0iAwUOecEwEmlSiSPk3ddI6CFvYmHr_2juYVDncgA7ulFRp8w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ReviloXD","UCnNdFgwMXZMkFkKkAvVZU9Q","0","1","2024-08-04T10:44:46Z","2024-08-04T10:44:46Z","Ugw7rCvWpj9a6dey5P54AaABAg",NA,"jNQXAC9IVRw"
