"","genres_1","genres_2","genres_3","genres_4","genres_5","genres_6","genres_7","genres_8","genres_9","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","num_genres"
"1","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP","04gDigrS5kc9YWfZHwBETP","Maroon 5",86,"artist","spotify:artist:04gDigrS5kc9YWfZHwBETP","https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP",NA,42680760,1
"2","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y","07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo",79,"artist","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","https://open.spotify.com/artist/07YZf4WDAMNwqr4jfgOZ8y",NA,12189106,2
"3","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7","31TPClRtHm23RisEBtV3X7","Justin Timberlake",82,"artist","spotify:artist:31TPClRtHm23RisEBtV3X7","https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7",NA,14524231,2
"4","dance pop","pop","r&b","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj","21E3waRsmPlU7jZsS13rcj","Ne-Yo",82,"artist","spotify:artist:21E3waRsmPlU7jZsS13rcj","https://open.spotify.com/artist/21E3waRsmPlU7jZsS13rcj",NA,9117438,4
"5","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI","2wY79sveU1sp5g7SokKOiI","Sam Smith",84,"artist","spotify:artist:2wY79sveU1sp5g7SokKOiI","https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI",NA,24261084,2
"6","pop","viral pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7","6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth",81,"artist","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7",NA,23210125,2
"7","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X","6jJ0s89eD6GaHleKKya26X","Katy Perry",87,"artist","spotify:artist:6jJ0s89eD6GaHleKKya26X","https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X",NA,34472212,1
"8","canadian pop","pop","viral pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes",84,"artist","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr",NA,43279208,3
"9","boy band","pop","post-teen pop","talent show",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4AK6F7OLvEQ5QYCBNiQWHq","4AK6F7OLvEQ5QYCBNiQWHq","One Direction",85,"artist","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq",NA,36469199,4
"10","british soul","pop","pop soul","uk pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY","4dpARuHxo51G3z768sgnrY","Adele",88,"artist","spotify:artist:4dpARuHxo51G3z768sgnrY","https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY",NA,58849594,4
"11","neo soul","pop","r&b",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3DiDSECUqqY1AuBP8qtaIa","3DiDSECUqqY1AuBP8qtaIa","Alicia Keys",80,"artist","spotify:artist:3DiDSECUqqY1AuBP8qtaIa","https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa",NA,12079086,3
"12","barbadian pop","pop","urban contemporary",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H","5pKCCKE2ajJHZ9KAiaK11H","Rihanna",91,"artist","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H",NA,62783260,3
"13","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",92,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,99965112,1
"14","pop","singer-songwriter pop","uk pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V","6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran",88,"artist","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V",NA,116123326,3
"15","pop","r&b",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m","6vWDO969PvNqNYHIOW5v0m","Beyoncé",87,"artist","spotify:artist:6vWDO969PvNqNYHIOW5v0m","https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m",NA,38629514,2
